45,M,3,ensino medio,casado,70000.0,blue,39,5,3,1,12691.51,1144.9,42
49,F,5,mestrado,solteiro,20000.0,blue,44,6,2,1,8256.96,1291.45,33
51,M,3,mestrado,casado,100000.0,blue,36,4,0,1,3418.56,1887.72,20
40,M,3,sem educacao formal,casado,70000.0,blue,21,5,0,1,4716.22,816.08,28
44,M,2,mestrado,casado,50000.0,blue,36,3,2,1,4010.69,1088.07,24
37,M,3,sem educacao formal,solteiro,70000.0,blue,36,5,0,2,22352.5,1350.14,24
48,M,2,mestrado,solteiro,100000.0,blue,36,6,3,3,11656.41,1441.73,32
56,M,1,graduacao,solteiro,100000.0,blue,36,3,0,6,11751.09,1539.95,17
57,F,2,mestrado,casado,20000.0,blue,48,5,2,2,2436.0,1570.23,29
48,M,4,doutorado,solteiro,100000.0,blue,36,6,3,2,30367.57,1671.12,27
61,M,1,ensino medio,casado,50000.0,blue,56,2,3,2,3193.51,1336.54,30
47,M,1,doutorado,divorciado,70000.0,blue,42,5,0,2,20979.05,1178.72,27
62,F,0,mestrado,casado,20000.0,blue,49,2,3,3,1438.73,692.25,16
41,M,3,ensino medio,casado,50000.0,blue,33,4,1,2,4470.45,931.04,18
41,F,3,mestrado,solteiro,20000.0,blue,28,6,2,1,7768.43,1052.0,22
47,M,4,ensino medio,casado,50000.0,blue,42,6,0,0,4785.24,1045.67,38
53,M,2,sem educacao formal,casado,70000.0,blue,48,2,1,5,2451.4,1596.34,26
41,M,4,mestrado,casado,70000.0,blue,36,4,2,1,8923.23,1589.11,24
53,F,2,graduacao,casado,20000.0,blue,38,5,3,2,2650.38,1411.63,28
58,M,0,mestrado,casado,100000.0,blue,49,6,2,2,12555.16,1291.68,24
55,F,1,graduacao,solteiro,20000.0,blue,36,4,1,2,3520.61,1407.71,43
55,F,3,mestrado,casado,20000.0,blue,36,6,3,2,3035.78,1877.05,37
42,F,4,ensino medio,casado,20000.0,gold,36,2,3,3,15433.35,966.8,22
45,M,3,mestrado,solteiro,100000.0,blue,41,2,2,2,32426.29,1109.51,28
50,F,1,graduacao,solteiro,50000.0,silver,43,3,3,2,17304.68,1756.0,33
49,M,3,ensino medio,casado,70000.0,blue,37,5,1,2,3906.4,1756.49,32
49,M,4,sem educacao formal,solteiro,100000.0,blue,30,3,3,2,34516.07,1444.77,28
56,M,2,doutorado,casado,70000.0,blue,45,6,0,2,2283.59,1741.52,27
59,M,1,doutorado,casado,50000.0,blue,52,3,2,2,2548.58,1719.18,27
46,M,3,ensino medio,casado,100000.0,blue,40,4,3,3,19458.61,1217.71,27
52,M,1,graduacao,solteiro,100000.0,blue,40,5,1,1,4745.36,1140.09,40
54,F,1,mestrado,casado,20000.0,blue,40,2,1,3,1438.08,705.59,19
66,F,0,ensino medio,casado,20000.0,blue,54,3,2,4,3171.17,1946.81,38
56,M,2,mestrado,casado,120000.0,blue,36,1,3,3,15769.34,602.6,15
49,F,3,mestrado,solteiro,20000.0,blue,36,2,0,2,2802.32,1295.77,40
56,M,2,sem educacao formal,casado,50000.0,blue,50,4,3,2,4458.72,1424.23,29
42,M,2,ensino medio,solteiro,70000.0,blue,34,4,3,4,3336.16,1168.25,27
48,M,2,mestrado,casado,70000.0,silver,35,2,4,4,34516.6,691.1,15
39,M,1,ensino medio,divorciado,70000.0,blue,33,5,3,3,5926.84,1316.35,28
44,M,4,doutorado,solteiro,120000.0,blue,32,2,2,4,23957.43,1276.73,26
53,M,2,ensino medio,solteiro,120000.0,blue,44,4,2,2,14734.78,1289.07,23
51,M,4,sem educacao formal,solteiro,100000.0,silver,38,4,4,1,34516.43,1293.87,32
57,M,2,graduacao,casado,70000.0,blue,52,5,3,3,6585.0,1353.02,35
